surface,excellent,good,intermediate,bad,very_bad,horrible,very_horrible,impassable,?
asphalt,100,90,70,50,40,20,10,0,-1
concrete,100,90,70,50,40,20,10,0,-1
paving_stones,100,100,80,50,40,20,10,0,-1
paver,100,100,80,50,40,20,10,0,-1
concrete:plates,100,100,80,50,40,20,10,0,-1
sett,100,80,100,70,60,30,20,0,-1
cobblestone,100,80,100,70,60,30,20,0,-1
paved,100,80,100,70,60,30,20,0,-1
concrete:lanes,100,80,100,70,60,30,20,0,-1
unhewn_cobblestone,100,80,100,70,60,30,20,0,-1
Petit_Pavê,100,80,100,70,60,30,20,0,-1
ceramic:tiles,100,80,100,70,60,30,20,0,-1
grass_paver,100,80,100,70,60,30,20,0,-1
rock,100,80,65,100,75,50,25,0,-1
compacted,100,80,65,100,75,50,25,0,-1
gravel,100,80,65,100,75,50,25,0,-1
fine_gravel,100,80,65,100,75,50,25,0,-1
grass,100,80,65,100,75,50,25,0,-1
earth,100,80,65,100,75,50,25,0,-1
ground,100,80,65,100,75,50,25,0,-1
pebblestone,100,80,65,100,75,50,25,0,-1
wood,100,80,65,100,75,50,25,0,-1
dirt,100,80,65,100,75,50,25,0,-1
unpaved,100,80,65,100,75,50,25,0,-1
stepping_stones,100,80,65,100,75,50,25,0,-1
?,-1,-1,-1,-1,-1,-1,-1,-1,-1
