osm_id,feat_type,key,value,commentary
4681905,way,name,Via Mac Mahon,most crossings have no name
23227664,way,name,Via Tommaso Grossi,most crossings have no name
113517742,way,name,Piazza Giustino Fortunato,most crossings have no name
115225698,way,name,Via Cesariano,most crossings have no name
152816524,way,name,Via Palmanova,most crossings have no name
186121497,way,name,Via Palmanova,most crossings have no name
297203177,way,name,Via San Dionigi,most crossings have no name
304559646,way,name,Ciclabile Pero - Molino Dorino,most crossings have no name
304804062,way,name,Via Valtellina,most crossings have no name
306849458,way,name,Via Mac Mahon,most crossings have no name
736649215,way,name,Via Antonio Grossich,most crossings have no name
736649241,way,name,Via Antonio Grossich,most crossings have no name
736649244,way,name,Via Antonio Grossich,most crossings have no name
736649259,way,name,Via Alfonso Corti,most crossings have no name
736649261,way,name,Via Alfonso Corti,most crossings have no name
835902553,way,name,Via Vincenzo da Seregno,most crossings have no name
837542764,way,name,Via Fratelli Camillo e Giannino Antona Traversi,most crossings have no name
837542768,way,name,Via Fratelli Camillo e Giannino Antona Traversi,most crossings have no name
873063616,way,name,Via Valassina,most crossings have no name
873072913,way,name,Via Valassina,most crossings have no name
925209214,way,name,Via Cascina Bellaria,most crossings have no name
955775779,way,name,Via Palmanova,most crossings have no name
994964891,way,name,Via Monte Rosa,most crossings have no name
1032053768,way,name,Via Padova,most crossings have no name
1032053772,way,name,Via Padova,most crossings have no name
1032053773,way,name,Via Padova,most crossings have no name
1032127109,way,name,Viale Argonne,most crossings have no name
1034836166,way,name,Via Cesariano,most crossings have no name
1035071867,way,name,Via Mac Mahon,most crossings have no name
1036606982,way,name,Via Antonio Grossich,most crossings have no name
1036607058,way,name,Piazza San Materno,most crossings have no name
1036977294,way,name,Piazza San Materno,most crossings have no name
1062943899,way,name,Viale Argonne,most crossings have no name
1062943900,way,name,Viale Argonne,most crossings have no name
1065272827,way,name,Via Antonio Grossich,most crossings have no name
1092855022,way,name,Via Padova Via Pasteur,most crossings have no name
1098839394,way,name,Bonola,most crossings have no name
1098839647,way,name,Bonola,most crossings have no name
1098840220,way,name,Bonola,most crossings have no name
1098840755,way,name,Bonola,most crossings have no name
1103128476,way,name,Via Vincenzo da Seregno,most crossings have no name
1118070345,way,name,Ciclabile Pero - Molino Dorino,most crossings have no name
1134754471,way,name,Via Parma,most crossings have no name
1152893851,way,name,Ciclabile Pero - Molino Dorino,most crossings have no name
1284814430,way,name,Piazza Ercole Luigi Morselli,most crossings have no name
1446128154,way,name,Via Fratelli Camillo e Giannino Antona Traversi,most crossings have no name
1474184007,way,name,Ciclabile Pero - Molino Dorino,most crossings have no name
