osm_id,feat_type,key,value,commentary
24775977,way,surface,MISSING,Surface tag is recommended to assess accessibility
82637218,way,surface,MISSING,Surface tag is recommended to assess accessibility
106646956,way,surface,MISSING,Surface tag is recommended to assess accessibility
106805350,way,surface,MISSING,Surface tag is recommended to assess accessibility
106914280,way,surface,MISSING,Surface tag is recommended to assess accessibility
106928168,way,surface,MISSING,Surface tag is recommended to assess accessibility
121846072,way,surface,MISSING,Surface tag is recommended to assess accessibility
194267133,way,surface,MISSING,Surface tag is recommended to assess accessibility
198124890,way,surface,MISSING,Surface tag is recommended to assess accessibility
229498760,way,surface,MISSING,Surface tag is recommended to assess accessibility
229502085,way,surface,MISSING,Surface tag is recommended to assess accessibility
229503448,way,surface,MISSING,Surface tag is recommended to assess accessibility
229529808,way,surface,MISSING,Surface tag is recommended to assess accessibility
229529868,way,surface,MISSING,Surface tag is recommended to assess accessibility
229531795,way,surface,MISSING,Surface tag is recommended to assess accessibility
229533303,way,surface,MISSING,Surface tag is recommended to assess accessibility
229540794,way,surface,MISSING,Surface tag is recommended to assess accessibility
229542842,way,surface,MISSING,Surface tag is recommended to assess accessibility
229542974,way,surface,MISSING,Surface tag is recommended to assess accessibility
229849975,way,surface,MISSING,Surface tag is recommended to assess accessibility
229850995,way,surface,MISSING,Surface tag is recommended to assess accessibility
229863260,way,surface,MISSING,Surface tag is recommended to assess accessibility
229864850,way,surface,MISSING,Surface tag is recommended to assess accessibility
229872764,way,surface,MISSING,Surface tag is recommended to assess accessibility
229977685,way,surface,MISSING,Surface tag is recommended to assess accessibility
229978246,way,surface,MISSING,Surface tag is recommended to assess accessibility
229989867,way,surface,MISSING,Surface tag is recommended to assess accessibility
229990975,way,surface,MISSING,Surface tag is recommended to assess accessibility
230003157,way,surface,MISSING,Surface tag is recommended to assess accessibility
262609534,way,surface,MISSING,Surface tag is recommended to assess accessibility
285871277,way,surface,MISSING,Surface tag is recommended to assess accessibility
344756273,way,surface,MISSING,Surface tag is recommended to assess accessibility
473324195,way,surface,MISSING,Surface tag is recommended to assess accessibility
490865261,way,surface,MISSING,Surface tag is recommended to assess accessibility
490865263,way,surface,MISSING,Surface tag is recommended to assess accessibility
