osm_id,feat_type,key,value,commentary
24775977,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
82637218,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
106805350,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
106914280,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
106928168,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
229502085,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
229850994,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
230003157,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
231092796,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
473856869,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
488431774,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
488431775,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
490865261,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
490865263,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
490865267,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
514861797,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
524285791,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
554566852,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
618035749,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
629324551,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
641558571,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
641558577,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
644457817,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
645789432,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
645789433,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789435,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789436,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789437,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789441,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789442,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789443,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789445,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789447,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789449,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789453,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789455,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789456,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789457,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789461,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
645789464,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016141,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016142,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016144,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016146,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016148,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016150,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016151,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016152,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016154,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
646016156,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
650093220,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
657092705,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
657750851,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
657750853,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
657750854,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
657750855,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
657750864,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
657750865,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237661,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237663,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237665,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237669,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237670,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237691,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237705,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237706,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237707,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237708,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237709,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659237714,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659435720,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659435724,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659596361,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659596367,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659599244,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
659608764,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
660026413,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
660026414,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
660026415,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
660609544,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
660609545,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
662538163,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
662538174,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663339786,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663339787,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663339788,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663339792,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663377929,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663647805,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663647806,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663647807,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
663647813,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664311308,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575380,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575385,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575386,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575392,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575393,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575397,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575398,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575412,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
664575413,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
671002340,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
671002343,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
671124847,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
671127087,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
672577323,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
672577325,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
672577327,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
672577328,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
672577329,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
676395036,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
688532118,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
688532119,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
692641618,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
692641636,way,crossing,zebra,should use the tag 'crossing=uncontrolled' 
694310121,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
696205537,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
698273408,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
698273409,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
724738046,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
724738047,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
739461153,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
763039967,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
886184893,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
953195825,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
953195827,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
953195829,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
953197230,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
953197231,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
953197232,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
953197233,way,crossing,marked,should use the tag 'crossing=uncontrolled' 
