osm_id,feat_type,key,value,commentary
334484101,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
696353080,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
699424595,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
1106530679,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1365387447,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1416835208,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
1419082958,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1419082959,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1419082960,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1419082961,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046694,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046695,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046696,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046698,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046699,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046700,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046701,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046703,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046705,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046706,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1421046707,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1429540302,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1466190175,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1475272872,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1532027939,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1532585314,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1532585315,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1532585317,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1532585319,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1532585320,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1537785678,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1537785679,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1537785680,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1537785681,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1537785682,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
1537785683,way,crossing,informal,"unlisted at accepted/known values, probably wrong/misspelled"
