osm_id,key,value,commentary
846529475,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
846529477,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
881735107,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1370732364,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1802228562,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2331647911,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2331647914,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
4695507319,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5445949867,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5522508059,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5550830954,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5842579987,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164092860,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164092861,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164092881,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164095891,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6390644452,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6390644454,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6707473489,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
7593965421,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9986507242,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9986507243,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
10053848310,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
12395490254,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
24576715,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
546907163,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
663373649,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
685999195,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1206041816,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1225297542,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1332734443,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
