osm_id,key,value,commentary
659241105,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953197237,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953199745,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955490104,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955508034,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955508035,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
957980150,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070027466,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070027467,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070027468,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070738461,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1074627503,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1195429846,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
