osm_id,key,value,commentary
24576715,kerb,lowered,"kerbs are points, crossings are lines"
24775977,kerb,nan,"kerbs are points, crossings are lines"
82637218,kerb,nan,"kerbs are points, crossings are lines"
106646956,kerb,nan,"kerbs are points, crossings are lines"
106805350,kerb,nan,"kerbs are points, crossings are lines"
106810173,kerb,nan,"kerbs are points, crossings are lines"
106914280,kerb,nan,"kerbs are points, crossings are lines"
106928168,kerb,nan,"kerbs are points, crossings are lines"
164011422,kerb,nan,"kerbs are points, crossings are lines"
194267133,kerb,nan,"kerbs are points, crossings are lines"
198124890,kerb,nan,"kerbs are points, crossings are lines"
229498760,kerb,nan,"kerbs are points, crossings are lines"
229502085,kerb,nan,"kerbs are points, crossings are lines"
229503448,kerb,nan,"kerbs are points, crossings are lines"
229533303,kerb,nan,"kerbs are points, crossings are lines"
229540794,kerb,nan,"kerbs are points, crossings are lines"
229542842,kerb,nan,"kerbs are points, crossings are lines"
229847988,kerb,nan,"kerbs are points, crossings are lines"
229848172,kerb,nan,"kerbs are points, crossings are lines"
229849975,kerb,nan,"kerbs are points, crossings are lines"
229850994,kerb,nan,"kerbs are points, crossings are lines"
229850995,kerb,nan,"kerbs are points, crossings are lines"
229864850,kerb,nan,"kerbs are points, crossings are lines"
229872764,kerb,nan,"kerbs are points, crossings are lines"
229977685,kerb,nan,"kerbs are points, crossings are lines"
229978246,kerb,nan,"kerbs are points, crossings are lines"
229978247,kerb,nan,"kerbs are points, crossings are lines"
229978248,kerb,nan,"kerbs are points, crossings are lines"
229978544,kerb,nan,"kerbs are points, crossings are lines"
229978545,kerb,nan,"kerbs are points, crossings are lines"
229978582,kerb,nan,"kerbs are points, crossings are lines"
229989867,kerb,nan,"kerbs are points, crossings are lines"
229990975,kerb,nan,"kerbs are points, crossings are lines"
230003157,kerb,nan,"kerbs are points, crossings are lines"
231092796,kerb,nan,"kerbs are points, crossings are lines"
262609532,kerb,nan,"kerbs are points, crossings are lines"
262609534,kerb,nan,"kerbs are points, crossings are lines"
285871277,kerb,nan,"kerbs are points, crossings are lines"
344010637,kerb,nan,"kerbs are points, crossings are lines"
344756273,kerb,nan,"kerbs are points, crossings are lines"
359617238,kerb,nan,"kerbs are points, crossings are lines"
473856869,kerb,nan,"kerbs are points, crossings are lines"
488431774,kerb,nan,"kerbs are points, crossings are lines"
488431775,kerb,nan,"kerbs are points, crossings are lines"
490865261,kerb,nan,"kerbs are points, crossings are lines"
