osm_id,feat_type,key,value,commentary
688533022,way,opening_hours,Mo-Fr 08:00-18:00; Sa 10:00-16:00,"if it has opening hours it may be a private pathway, not a sidewalk"
700028118,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
953199308,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
960593708,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
960925946,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
978849016,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
978849017,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1020215059,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1020215060,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1030798526,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1030798527,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1042657758,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051403033,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051403034,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051403036,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051403038,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051403039,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051403770,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051403775,way,crossing,marked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051406147,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1051406481,way,crossing,unmarked,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1161235432,way,crossing,uncontrolled,"It's inappropriate for Sidewalks, probably mistakenly tagged"
1161235433,way,crossing,uncontrolled,"It's inappropriate for Sidewalks, probably mistakenly tagged"
