osm_id,feat_type,key,value,commentary
846529475,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
846529477,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
881735107,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1370732364,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
1802228562,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2331647911,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
2331647914,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5445949867,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5522508059,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5550830954,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
5842579987,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164092860,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164092861,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164092881,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6164095891,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6390644452,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6390644454,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
6707473489,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
7042277861,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
7593965421,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9366157641,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9986507242,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
9986507243,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
10053848310,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
12395490254,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13800323453,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13800323454,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13800323455,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13800323456,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13800323457,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13800323458,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074547,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074549,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074550,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074553,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074555,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074557,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074559,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074561,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074563,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
13961074565,node,not appliable,not appliable,"kerbs are generally drawn at the top of crossings, check the map"
