osm_id,feat_type,key,value,commentary
659241105,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953197237,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953199306,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953199745,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953199911,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953199912,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953199914,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
953202347,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
954648475,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
954648500,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
954648504,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
954761092,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955077700,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955077705,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955077706,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955490104,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955508034,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
955508035,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
957980150,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
960112717,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
960112720,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070027466,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070027467,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070027468,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1070738461,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1074627503,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1195429846,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1451745534,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
1451759231,node,not appliable,not appliable,"kerbs are mostly points, but in few places people map also the whole 'kerb line' "
