osm_id,feat_type,key,value,commentary
250228012,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
251291650,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
340225481,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
340225482,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
648626675,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1110427626,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1171087743,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1270568966,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1270569005,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1270569009,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1270585573,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1270585613,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1274131381,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1345721021,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1432445882,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1432445885,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1474281764,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1477780131,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1490723398,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1503239846,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1516780256,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1521490646,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1523573723,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1557197482,node,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1561046678,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
1793535378,node,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
