osm_id,feat_type,key,value,commentary
846529453,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
846529467,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
846529470,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
846529481,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1383108533,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1394053635,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
1991377345,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2383931479,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2383931484,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
2705921590,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
3507819516,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4491511700,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4496710650,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4496710651,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4598971359,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4598971371,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4604865115,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4604865116,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4604865117,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4604865118,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4604865119,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4604865120,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
4695507319,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
5088481090,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6403047144,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6403047145,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
6967951295,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7130275471,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
7130275473,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8169120336,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822621815,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822636771,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822636773,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822646778,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822681678,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822681684,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822683922,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822683925,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822683970,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822684978,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822684980,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822685014,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822688572,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822688643,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822688645,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822700933,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822700934,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8822700935,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8836180542,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8836180544,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8836180562,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8837121702,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8837121704,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8839885591,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8839885593,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8839885611,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8839885613,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8839885615,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8839885617,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8842288416,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8842309418,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8842309421,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8842699980,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8842699981,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8843282971,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8843282993,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8863679669,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8863679670,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8864065328,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8882941480,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8882941483,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8882941505,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8882943064,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8882943066,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8882943073,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8886351118,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8886351119,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8886351124,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8888420312,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336429,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336430,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336431,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336432,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336433,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336434,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336435,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336436,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889336437,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889348416,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889351414,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889351415,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889351416,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889376180,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889376181,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889376182,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889376183,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889376184,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383017,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383018,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383019,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383020,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383021,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383022,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383023,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383024,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889383025,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889396217,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889396218,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889396219,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889396220,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889463291,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889463292,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889463293,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889463294,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8889463295,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8893030770,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8893030771,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8893030772,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8893030773,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8893030774,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8893030775,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8893030776,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100919,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100920,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100921,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100922,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100923,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100924,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100925,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100926,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100927,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
8895100928,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
9414623617,node,not appliable,not appliable,this kerb does not intersect any crossing geometry.
