osm_id,feat_type,key,value,commentary
4496710650,node,last_update,12-11-2016,Feature has not been updated in 5 years or more
4496710651,node,last_update,1-10-2018,Feature has not been updated in 5 years or more
8169120336,node,last_update,27-11-2020,Feature has not been updated in 5 years or more
8169120337,node,last_update,10-6-2021,Feature has not been updated in 5 years or more
8813120857,node,last_update,18-6-2021,Feature has not been updated in 5 years or more
8813120877,node,last_update,18-6-2021,Feature has not been updated in 5 years or more
8813243748,node,last_update,18-6-2021,Feature has not been updated in 5 years or more
8822683953,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8822683966,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8822688572,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8822688897,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8822688899,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8822688901,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8837121680,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8837121682,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8837121685,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8837121687,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8837125829,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8837125831,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8837125863,node,last_update,18-6-2021,Feature has not been updated in 5 years or more
8837125868,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8837125870,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8839956678,node,last_update,20-6-2021,Feature has not been updated in 5 years or more
8839956680,node,last_update,20-6-2021,Feature has not been updated in 5 years or more
8839956682,node,last_update,20-6-2021,Feature has not been updated in 5 years or more
8839956684,node,last_update,20-6-2021,Feature has not been updated in 5 years or more
8839956688,node,last_update,20-6-2021,Feature has not been updated in 5 years or more
8839956690,node,last_update,20-6-2021,Feature has not been updated in 5 years or more
8842893496,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842893501,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842893503,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842893511,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842893513,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8842893516,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842904521,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842904526,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842904531,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842904551,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8842904553,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8842904556,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8842904558,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8842904561,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8846406928,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8846406930,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8846406932,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8846406944,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8846406962,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8846406965,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8846406967,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8863679669,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8863679670,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8864131738,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8864131740,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8864280352,node,last_update,24-6-2021,Feature has not been updated in 5 years or more
8869854125,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8882941505,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8883142709,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8886351118,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8886351119,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8886351124,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8888420312,node,last_update,2-7-2021,Feature has not been updated in 5 years or more
8889062143,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336429,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336430,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336431,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336432,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336433,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336434,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336435,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336436,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889336437,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889351414,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889376180,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889376181,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889376182,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889376183,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889383020,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889383023,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8889383024,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8890631910,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8890631911,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8890780386,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8890907326,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8891102632,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8891102635,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8891102637,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8891106244,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8891106246,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8891164694,node,last_update,3-7-2021,Feature has not been updated in 5 years or more
8893030771,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8893030772,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8893030774,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8893030775,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8893030776,node,last_update,4-7-2021,Feature has not been updated in 5 years or more
8895100918,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8895100919,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8895100923,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8895100924,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8895100925,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8895100926,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8895100927,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
8895100928,node,last_update,5-7-2021,Feature has not been updated in 5 years or more
