osm_id,feat_type,key,value,commentary
340225481,node,button_operated,yes,"it may be referring to the crossing, may be OK"
340225482,node,button_operated,yes,"it may be referring to the crossing, may be OK"
1270568966,node,button_operated,no,"it may be referring to the crossing, may be OK"
1270569005,node,button_operated,no,"it may be referring to the crossing, may be OK"
1270569009,node,button_operated,no,"it may be referring to the crossing, may be OK"
1345721021,node,button_operated,no,"it may be referring to the crossing, may be OK"
1474281764,node,button_operated,no,"it may be referring to the crossing, may be OK"
1477780131,node,button_operated,no,"it may be referring to the crossing, may be OK"
1503239846,node,button_operated,no,"it may be referring to the crossing, may be OK"
1831146494,node,button_operated,no,"it may be referring to the crossing, may be OK"
2356381083,node,button_operated,no,"it may be referring to the crossing, may be OK"
2394469856,node,button_operated,no,"it may be referring to the crossing, may be OK"
3386288551,node,button_operated,no,"it may be referring to the crossing, may be OK"
3731503660,node,button_operated,no,"it may be referring to the crossing, may be OK"
3731503663,node,button_operated,no,"it may be referring to the crossing, may be OK"
5936879760,node,button_operated,yes,"it may be referring to the crossing, may be OK"
6301781772,node,button_operated,no,"it may be referring to the crossing, may be OK"
7570125969,node,button_operated,no,"it may be referring to the crossing, may be OK"
8091107775,node,button_operated,yes,"it may be referring to the crossing, may be OK"
8901473938,node,button_operated,no,"it may be referring to the crossing, may be OK"
9360819896,node,button_operated,no,"it may be referring to the crossing, may be OK"
9360819900,node,button_operated,no,"it may be referring to the crossing, may be OK"
9363724862,node,button_operated,no,"it may be referring to the crossing, may be OK"
9466300802,node,button_operated,yes,"it may be referring to the crossing, may be OK"
10255830376,node,button_operated,yes,"it may be referring to the crossing, may be OK"
11158695650,node,button_operated,no,"it may be referring to the crossing, may be OK"
