osm_id,key,value,commentary
24775977,element,way,no wiki page for this key
82637218,element,way,no wiki page for this key
106646956,element,way,no wiki page for this key
106805350,element,way,no wiki page for this key
106914280,element,way,no wiki page for this key
106928168,element,way,no wiki page for this key
121846072,element,way,no wiki page for this key
194267133,element,way,no wiki page for this key
198124890,element,way,no wiki page for this key
229498760,element,way,no wiki page for this key
229502085,element,way,no wiki page for this key
229503448,element,way,no wiki page for this key
229529808,element,way,no wiki page for this key
229529868,element,way,no wiki page for this key
229531795,element,way,no wiki page for this key
229533303,element,way,no wiki page for this key
229540794,element,way,no wiki page for this key
229542842,element,way,no wiki page for this key
229542974,element,way,no wiki page for this key
229849975,element,way,no wiki page for this key
229850994,element,way,no wiki page for this key
229850995,element,way,no wiki page for this key
229863260,element,way,no wiki page for this key
229864850,element,way,no wiki page for this key
229872764,element,way,no wiki page for this key
229977685,element,way,no wiki page for this key
229978246,element,way,no wiki page for this key
229978247,element,way,no wiki page for this key
229978248,element,way,no wiki page for this key
229978544,element,way,no wiki page for this key
229978545,element,way,no wiki page for this key
229978582,element,way,no wiki page for this key
229989867,element,way,no wiki page for this key
229990975,element,way,no wiki page for this key
230003157,element,way,no wiki page for this key
231092796,element,way,no wiki page for this key
262609532,element,way,no wiki page for this key
262609534,element,way,no wiki page for this key
285871277,element,way,no wiki page for this key
344756273,element,way,no wiki page for this key
359617238,element,way,no wiki page for this key
448208098,element,way,no wiki page for this key
473324195,element,way,no wiki page for this key
473856869,element,way,no wiki page for this key
488431774,element,way,no wiki page for this key
488431775,element,way,no wiki page for this key
490865261,element,way,no wiki page for this key
490865263,element,way,no wiki page for this key
490865267,element,way,no wiki page for this key
490865274,element,way,no wiki page for this key
514861797,element,way,no wiki page for this key
517108556,element,way,no wiki page for this key
517108557,element,way,no wiki page for this key
517108558,element,way,no wiki page for this key
517108561,element,way,no wiki page for this key
524285791,element,way,no wiki page for this key
524285880,element,way,no wiki page for this key
554566852,element,way,no wiki page for this key
618035749,element,way,no wiki page for this key
629324551,element,way,no wiki page for this key
637337403,element,way,no wiki page for this key
640338070,element,way,no wiki page for this key
640338073,element,way,no wiki page for this key
640338074,element,way,no wiki page for this key
641558571,element,way,no wiki page for this key
641558577,element,way,no wiki page for this key
644457817,element,way,no wiki page for this key
645789432,element,way,no wiki page for this key
645789433,element,way,no wiki page for this key
645789435,element,way,no wiki page for this key
645789436,element,way,no wiki page for this key
645789437,element,way,no wiki page for this key
645789441,element,way,no wiki page for this key
645789442,element,way,no wiki page for this key
645789443,element,way,no wiki page for this key
645789445,element,way,no wiki page for this key
645789447,element,way,no wiki page for this key
645789449,element,way,no wiki page for this key
645789453,element,way,no wiki page for this key
645789455,element,way,no wiki page for this key
645789456,element,way,no wiki page for this key
645789457,element,way,no wiki page for this key
645789461,element,way,no wiki page for this key
645789464,element,way,no wiki page for this key
646016141,element,way,no wiki page for this key
646016142,element,way,no wiki page for this key
646016144,element,way,no wiki page for this key
646016146,element,way,no wiki page for this key
646016148,element,way,no wiki page for this key
646016150,element,way,no wiki page for this key
646016151,element,way,no wiki page for this key
646016152,element,way,no wiki page for this key
646016154,element,way,no wiki page for this key
646016156,element,way,no wiki page for this key
650093220,element,way,no wiki page for this key
654379421,element,way,no wiki page for this key
654379422,element,way,no wiki page for this key
654379423,element,way,no wiki page for this key
654379424,element,way,no wiki page for this key
654379427,element,way,no wiki page for this key
654379428,element,way,no wiki page for this key
657092705,element,way,no wiki page for this key
657095950,element,way,no wiki page for this key
657750851,element,way,no wiki page for this key
657750853,element,way,no wiki page for this key
657750854,element,way,no wiki page for this key
657750855,element,way,no wiki page for this key
657750864,element,way,no wiki page for this key
657750865,element,way,no wiki page for this key
657942654,element,way,no wiki page for this key
659237661,element,way,no wiki page for this key
659237663,element,way,no wiki page for this key
659237665,element,way,no wiki page for this key
659237669,element,way,no wiki page for this key
659237670,element,way,no wiki page for this key
659237676,element,way,no wiki page for this key
659237677,element,way,no wiki page for this key
659237678,element,way,no wiki page for this key
659237679,element,way,no wiki page for this key
659237691,element,way,no wiki page for this key
659237700,element,way,no wiki page for this key
659237701,element,way,no wiki page for this key
659237705,element,way,no wiki page for this key
659237706,element,way,no wiki page for this key
659237707,element,way,no wiki page for this key
659237708,element,way,no wiki page for this key
659237709,element,way,no wiki page for this key
659237714,element,way,no wiki page for this key
659241079,element,way,no wiki page for this key
659241090,element,way,no wiki page for this key
659241092,element,way,no wiki page for this key
659435710,element,way,no wiki page for this key
659435720,element,way,no wiki page for this key
659435724,element,way,no wiki page for this key
659596361,element,way,no wiki page for this key
659596367,element,way,no wiki page for this key
659599244,element,way,no wiki page for this key
659608764,element,way,no wiki page for this key
660018984,element,way,no wiki page for this key
660018991,element,way,no wiki page for this key
660018993,element,way,no wiki page for this key
660019010,element,way,no wiki page for this key
660026413,element,way,no wiki page for this key
660026414,element,way,no wiki page for this key
660026415,element,way,no wiki page for this key
660609544,element,way,no wiki page for this key
660609545,element,way,no wiki page for this key
662538163,element,way,no wiki page for this key
662538174,element,way,no wiki page for this key
662714014,element,way,no wiki page for this key
663076701,element,way,no wiki page for this key
663076707,element,way,no wiki page for this key
663339774,element,way,no wiki page for this key
663339786,element,way,no wiki page for this key
663339787,element,way,no wiki page for this key
663339788,element,way,no wiki page for this key
663339792,element,way,no wiki page for this key
663373645,element,way,no wiki page for this key
663377929,element,way,no wiki page for this key
663647805,element,way,no wiki page for this key
663647806,element,way,no wiki page for this key
663647807,element,way,no wiki page for this key
663647813,element,way,no wiki page for this key
664311258,element,way,no wiki page for this key
664311267,element,way,no wiki page for this key
664311283,element,way,no wiki page for this key
664311295,element,way,no wiki page for this key
664311297,element,way,no wiki page for this key
664311308,element,way,no wiki page for this key
664311309,element,way,no wiki page for this key
664311311,element,way,no wiki page for this key
664575380,element,way,no wiki page for this key
664575385,element,way,no wiki page for this key
664575386,element,way,no wiki page for this key
664575392,element,way,no wiki page for this key
664575393,element,way,no wiki page for this key
664575397,element,way,no wiki page for this key
664575398,element,way,no wiki page for this key
664575412,element,way,no wiki page for this key
664575413,element,way,no wiki page for this key
666388564,element,way,no wiki page for this key
671002340,element,way,no wiki page for this key
671002343,element,way,no wiki page for this key
671124847,element,way,no wiki page for this key
671127087,element,way,no wiki page for this key
671903465,element,way,no wiki page for this key
672436940,element,way,no wiki page for this key
672436957,element,way,no wiki page for this key
672436975,element,way,no wiki page for this key
672577323,element,way,no wiki page for this key
672577325,element,way,no wiki page for this key
672577327,element,way,no wiki page for this key
672577328,element,way,no wiki page for this key
672577329,element,way,no wiki page for this key
676395036,element,way,no wiki page for this key
685999190,element,way,no wiki page for this key
686240784,element,way,no wiki page for this key
686240785,element,way,no wiki page for this key
686240786,element,way,no wiki page for this key
686240798,element,way,no wiki page for this key
686242705,element,way,no wiki page for this key
686716711,element,way,no wiki page for this key
688527587,element,way,no wiki page for this key
688527588,element,way,no wiki page for this key
688527589,element,way,no wiki page for this key
688532118,element,way,no wiki page for this key
688532119,element,way,no wiki page for this key
692641618,element,way,no wiki page for this key
692641636,element,way,no wiki page for this key
694310121,element,way,no wiki page for this key
696205537,element,way,no wiki page for this key
696233901,element,way,no wiki page for this key
696233930,element,way,no wiki page for this key
697659785,element,way,no wiki page for this key
697659786,element,way,no wiki page for this key
698273408,element,way,no wiki page for this key
698273409,element,way,no wiki page for this key
698775688,element,way,no wiki page for this key
700194491,element,way,no wiki page for this key
700379727,element,way,no wiki page for this key
709357770,element,way,no wiki page for this key
709357771,element,way,no wiki page for this key
709357773,element,way,no wiki page for this key
715060923,element,way,no wiki page for this key
724738046,element,way,no wiki page for this key
724738047,element,way,no wiki page for this key
731579566,element,way,no wiki page for this key
731579567,element,way,no wiki page for this key
731579568,element,way,no wiki page for this key
731579569,element,way,no wiki page for this key
731579570,element,way,no wiki page for this key
731579571,element,way,no wiki page for this key
731579572,element,way,no wiki page for this key
731586976,element,way,no wiki page for this key
734816736,element,way,no wiki page for this key
738988647,element,way,no wiki page for this key
739461153,element,way,no wiki page for this key
753738630,element,way,no wiki page for this key
754946328,element,way,no wiki page for this key
758441648,element,way,no wiki page for this key
759294592,element,way,no wiki page for this key
763039967,element,way,no wiki page for this key
765540232,element,way,no wiki page for this key
768800271,element,way,no wiki page for this key
775643728,element,way,no wiki page for this key
866477376,element,way,no wiki page for this key
866477377,element,way,no wiki page for this key
866477378,element,way,no wiki page for this key
866477379,element,way,no wiki page for this key
866481566,element,way,no wiki page for this key
866481567,element,way,no wiki page for this key
878017791,element,way,no wiki page for this key
885336008,element,way,no wiki page for this key
885336009,element,way,no wiki page for this key
885336010,element,way,no wiki page for this key
886184893,element,way,no wiki page for this key
886184895,element,way,no wiki page for this key
913050752,element,way,no wiki page for this key
913050753,element,way,no wiki page for this key
952164911,element,way,no wiki page for this key
952164912,element,way,no wiki page for this key
952164913,element,way,no wiki page for this key
952164914,element,way,no wiki page for this key
952164915,element,way,no wiki page for this key
952164916,element,way,no wiki page for this key
952164917,element,way,no wiki page for this key
952164918,element,way,no wiki page for this key
952179489,element,way,no wiki page for this key
952179490,element,way,no wiki page for this key
952179491,element,way,no wiki page for this key
952179492,element,way,no wiki page for this key
952179493,element,way,no wiki page for this key
952179494,element,way,no wiki page for this key
952179495,element,way,no wiki page for this key
952179496,element,way,no wiki page for this key
952179497,element,way,no wiki page for this key
952179498,element,way,no wiki page for this key
952179499,element,way,no wiki page for this key
952179500,element,way,no wiki page for this key
952179501,element,way,no wiki page for this key
952179502,element,way,no wiki page for this key
952179503,element,way,no wiki page for this key
952179504,element,way,no wiki page for this key
952179505,element,way,no wiki page for this key
952179506,element,way,no wiki page for this key
952179507,element,way,no wiki page for this key
952179508,element,way,no wiki page for this key
953195825,element,way,no wiki page for this key
953195827,element,way,no wiki page for this key
953195829,element,way,no wiki page for this key
953196069,element,way,no wiki page for this key
953196070,element,way,no wiki page for this key
953196073,element,way,no wiki page for this key
953197229,element,way,no wiki page for this key
953197230,element,way,no wiki page for this key
953197231,element,way,no wiki page for this key
953197232,element,way,no wiki page for this key
953197233,element,way,no wiki page for this key
953197234,element,way,no wiki page for this key
953197235,element,way,no wiki page for this key
953197236,element,way,no wiki page for this key
953197239,element,way,no wiki page for this key
953197240,element,way,no wiki page for this key
953197270,element,way,no wiki page for this key
953197274,element,way,no wiki page for this key
953197276,element,way,no wiki page for this key
953197278,element,way,no wiki page for this key
953197348,element,way,no wiki page for this key
953197349,element,way,no wiki page for this key
953197350,element,way,no wiki page for this key
953197351,element,way,no wiki page for this key
953197352,element,way,no wiki page for this key
953197353,element,way,no wiki page for this key
953197354,element,way,no wiki page for this key
953197355,element,way,no wiki page for this key
953197356,element,way,no wiki page for this key
953197357,element,way,no wiki page for this key
953197358,element,way,no wiki page for this key
953197359,element,way,no wiki page for this key
953198582,element,way,no wiki page for this key
953198583,element,way,no wiki page for this key
953198584,element,way,no wiki page for this key
953198585,element,way,no wiki page for this key
953198586,element,way,no wiki page for this key
953198587,element,way,no wiki page for this key
953198588,element,way,no wiki page for this key
953198589,element,way,no wiki page for this key
953198590,element,way,no wiki page for this key
953198591,element,way,no wiki page for this key
953198598,element,way,no wiki page for this key
953199152,element,way,no wiki page for this key
953199153,element,way,no wiki page for this key
953199155,element,way,no wiki page for this key
953199156,element,way,no wiki page for this key
953199307,element,way,no wiki page for this key
953199642,element,way,no wiki page for this key
953199746,element,way,no wiki page for this key
953199748,element,way,no wiki page for this key
953199749,element,way,no wiki page for this key
953199756,element,way,no wiki page for this key
953199757,element,way,no wiki page for this key
953199758,element,way,no wiki page for this key
953199759,element,way,no wiki page for this key
953199760,element,way,no wiki page for this key
953199761,element,way,no wiki page for this key
953199762,element,way,no wiki page for this key
953199763,element,way,no wiki page for this key
953199764,element,way,no wiki page for this key
953199765,element,way,no wiki page for this key
953199766,element,way,no wiki page for this key
953199767,element,way,no wiki page for this key
953199768,element,way,no wiki page for this key
953199769,element,way,no wiki page for this key
953199770,element,way,no wiki page for this key
953199771,element,way,no wiki page for this key
953199772,element,way,no wiki page for this key
953199773,element,way,no wiki page for this key
953199774,element,way,no wiki page for this key
953199775,element,way,no wiki page for this key
953199776,element,way,no wiki page for this key
953199777,element,way,no wiki page for this key
953199913,element,way,no wiki page for this key
953200034,element,way,no wiki page for this key
953200036,element,way,no wiki page for this key
953200038,element,way,no wiki page for this key
953200039,element,way,no wiki page for this key
953200041,element,way,no wiki page for this key
953200042,element,way,no wiki page for this key
953200044,element,way,no wiki page for this key
953200045,element,way,no wiki page for this key
953200046,element,way,no wiki page for this key
953200047,element,way,no wiki page for this key
953200050,element,way,no wiki page for this key
953200051,element,way,no wiki page for this key
953200052,element,way,no wiki page for this key
953200055,element,way,no wiki page for this key
953200056,element,way,no wiki page for this key
953200057,element,way,no wiki page for this key
953200176,element,way,no wiki page for this key
953200177,element,way,no wiki page for this key
953200178,element,way,no wiki page for this key
953200179,element,way,no wiki page for this key
953200180,element,way,no wiki page for this key
953200181,element,way,no wiki page for this key
953200182,element,way,no wiki page for this key
953200183,element,way,no wiki page for this key
953200480,element,way,no wiki page for this key
953200648,element,way,no wiki page for this key
953200650,element,way,no wiki page for this key
953200652,element,way,no wiki page for this key
953200653,element,way,no wiki page for this key
953200655,element,way,no wiki page for this key
953200656,element,way,no wiki page for this key
953201409,element,way,no wiki page for this key
953201493,element,way,no wiki page for this key
953201494,element,way,no wiki page for this key
953201495,element,way,no wiki page for this key
953201496,element,way,no wiki page for this key
953201497,element,way,no wiki page for this key
953201501,element,way,no wiki page for this key
953201502,element,way,no wiki page for this key
953201503,element,way,no wiki page for this key
953201505,element,way,no wiki page for this key
953201506,element,way,no wiki page for this key
953201507,element,way,no wiki page for this key
953201508,element,way,no wiki page for this key
953201509,element,way,no wiki page for this key
953201511,element,way,no wiki page for this key
953201512,element,way,no wiki page for this key
953201513,element,way,no wiki page for this key
953202346,element,way,no wiki page for this key
953202354,element,way,no wiki page for this key
953202356,element,way,no wiki page for this key
953202359,element,way,no wiki page for this key
953202360,element,way,no wiki page for this key
953202361,element,way,no wiki page for this key
953202362,element,way,no wiki page for this key
953202363,element,way,no wiki page for this key
953202367,element,way,no wiki page for this key
953202369,element,way,no wiki page for this key
953202370,element,way,no wiki page for this key
953202371,element,way,no wiki page for this key
953202372,element,way,no wiki page for this key
953202374,element,way,no wiki page for this key
953202375,element,way,no wiki page for this key
953202378,element,way,no wiki page for this key
953202379,element,way,no wiki page for this key
953202380,element,way,no wiki page for this key
953202381,element,way,no wiki page for this key
954648478,element,way,no wiki page for this key
954648479,element,way,no wiki page for this key
954648480,element,way,no wiki page for this key
954648481,element,way,no wiki page for this key
954648482,element,way,no wiki page for this key
954648483,element,way,no wiki page for this key
954648484,element,way,no wiki page for this key
954648485,element,way,no wiki page for this key
954648486,element,way,no wiki page for this key
954648487,element,way,no wiki page for this key
954648488,element,way,no wiki page for this key
954648489,element,way,no wiki page for this key
954648490,element,way,no wiki page for this key
954648491,element,way,no wiki page for this key
954648492,element,way,no wiki page for this key
954648493,element,way,no wiki page for this key
954648494,element,way,no wiki page for this key
954648495,element,way,no wiki page for this key
954648496,element,way,no wiki page for this key
954648497,element,way,no wiki page for this key
954648498,element,way,no wiki page for this key
954648499,element,way,no wiki page for this key
954648500,element,way,no wiki page for this key
954648501,element,way,no wiki page for this key
954648502,element,way,no wiki page for this key
954648503,element,way,no wiki page for this key
954648504,element,way,no wiki page for this key
954648505,element,way,no wiki page for this key
954648506,element,way,no wiki page for this key
954648507,element,way,no wiki page for this key
954648508,element,way,no wiki page for this key
954754633,element,way,no wiki page for this key
954754634,element,way,no wiki page for this key
954754635,element,way,no wiki page for this key
954754636,element,way,no wiki page for this key
954754637,element,way,no wiki page for this key
