osm_id,key,value,commentary
846529453,element,node,no wiki page for this key
846529467,element,node,no wiki page for this key
846529470,element,node,no wiki page for this key
846529475,element,node,no wiki page for this key
846529477,element,node,no wiki page for this key
846529481,element,node,no wiki page for this key
881735107,element,node,no wiki page for this key
1370732364,element,node,no wiki page for this key
1383108533,element,node,no wiki page for this key
1394053635,element,node,no wiki page for this key
1395984082,element,node,no wiki page for this key
1802228562,element,node,no wiki page for this key
2331647911,element,node,no wiki page for this key
2331647914,element,node,no wiki page for this key
2383931479,element,node,no wiki page for this key
2383931484,element,node,no wiki page for this key
2385144841,element,node,no wiki page for this key
2385144844,element,node,no wiki page for this key
2681408017,element,node,no wiki page for this key
2682647758,element,node,no wiki page for this key
2682647759,element,node,no wiki page for this key
2682647760,element,node,no wiki page for this key
2682647761,element,node,no wiki page for this key
2705921590,element,node,no wiki page for this key
3507819516,element,node,no wiki page for this key
3893939889,element,node,no wiki page for this key
4327198712,element,node,no wiki page for this key
4358198900,element,node,no wiki page for this key
4496710650,element,node,no wiki page for this key
4496710651,element,node,no wiki page for this key
4598971371,element,node,no wiki page for this key
4604865115,element,node,no wiki page for this key
4604865116,element,node,no wiki page for this key
4604865117,element,node,no wiki page for this key
4604865118,element,node,no wiki page for this key
4604865119,element,node,no wiki page for this key
4604865120,element,node,no wiki page for this key
4695507319,element,node,no wiki page for this key
5088481090,element,node,no wiki page for this key
5445949867,element,node,no wiki page for this key
5459393691,element,node,no wiki page for this key
5459393693,element,node,no wiki page for this key
5522508059,element,node,no wiki page for this key
5550830954,element,node,no wiki page for this key
5842579987,element,node,no wiki page for this key
6164092860,element,node,no wiki page for this key
6164092861,element,node,no wiki page for this key
6164092881,element,node,no wiki page for this key
6164095891,element,node,no wiki page for this key
6336344925,element,node,no wiki page for this key
6336344931,element,node,no wiki page for this key
6336344932,element,node,no wiki page for this key
6390644452,element,node,no wiki page for this key
6390644454,element,node,no wiki page for this key
6403047144,element,node,no wiki page for this key
6403047145,element,node,no wiki page for this key
6707473489,element,node,no wiki page for this key
6967951295,element,node,no wiki page for this key
6967951321,element,node,no wiki page for this key
7042277861,element,node,no wiki page for this key
7052469464,element,node,no wiki page for this key
7130275471,element,node,no wiki page for this key
7130275473,element,node,no wiki page for this key
7593965421,element,node,no wiki page for this key
8169120336,element,node,no wiki page for this key
8169120337,element,node,no wiki page for this key
8813120856,element,node,no wiki page for this key
8813120857,element,node,no wiki page for this key
8813120877,element,node,no wiki page for this key
8813243712,element,node,no wiki page for this key
8813243714,element,node,no wiki page for this key
8813243748,element,node,no wiki page for this key
8813243753,element,node,no wiki page for this key
8822621815,element,node,no wiki page for this key
8822636756,element,node,no wiki page for this key
8822636758,element,node,no wiki page for this key
8822636771,element,node,no wiki page for this key
8822636773,element,node,no wiki page for this key
8822636776,element,node,no wiki page for this key
8822636778,element,node,no wiki page for this key
8822646778,element,node,no wiki page for this key
8822646780,element,node,no wiki page for this key
8822681658,element,node,no wiki page for this key
8822681666,element,node,no wiki page for this key
8822681678,element,node,no wiki page for this key
8822681684,element,node,no wiki page for this key
8822683922,element,node,no wiki page for this key
8822683925,element,node,no wiki page for this key
8822683953,element,node,no wiki page for this key
8822683966,element,node,no wiki page for this key
8822683971,element,node,no wiki page for this key
8822684973,element,node,no wiki page for this key
8822684975,element,node,no wiki page for this key
8822684978,element,node,no wiki page for this key
8822684980,element,node,no wiki page for this key
8822685014,element,node,no wiki page for this key
8822688572,element,node,no wiki page for this key
8822688643,element,node,no wiki page for this key
8822688645,element,node,no wiki page for this key
8822688726,element,node,no wiki page for this key
8822688866,element,node,no wiki page for this key
8822688868,element,node,no wiki page for this key
8822688869,element,node,no wiki page for this key
8822688871,element,node,no wiki page for this key
8822688872,element,node,no wiki page for this key
8822688873,element,node,no wiki page for this key
8822688875,element,node,no wiki page for this key
8822688877,element,node,no wiki page for this key
8822688879,element,node,no wiki page for this key
8822688887,element,node,no wiki page for this key
8822688889,element,node,no wiki page for this key
8822688891,element,node,no wiki page for this key
8822688893,element,node,no wiki page for this key
8822688895,element,node,no wiki page for this key
8822688897,element,node,no wiki page for this key
8822688899,element,node,no wiki page for this key
8822688901,element,node,no wiki page for this key
8822700437,element,node,no wiki page for this key
8822700439,element,node,no wiki page for this key
8822700442,element,node,no wiki page for this key
8822700444,element,node,no wiki page for this key
8822700448,element,node,no wiki page for this key
8822700449,element,node,no wiki page for this key
8822700453,element,node,no wiki page for this key
8822700454,element,node,no wiki page for this key
8822700484,element,node,no wiki page for this key
8822700487,element,node,no wiki page for this key
8822700489,element,node,no wiki page for this key
8822700491,element,node,no wiki page for this key
8822700493,element,node,no wiki page for this key
8822700504,element,node,no wiki page for this key
8822700506,element,node,no wiki page for this key
8822700509,element,node,no wiki page for this key
8822700511,element,node,no wiki page for this key
8822700933,element,node,no wiki page for this key
8822700934,element,node,no wiki page for this key
8822700935,element,node,no wiki page for this key
8822707483,element,node,no wiki page for this key
8822707485,element,node,no wiki page for this key
8822712920,element,node,no wiki page for this key
8822712921,element,node,no wiki page for this key
8822712925,element,node,no wiki page for this key
8822712926,element,node,no wiki page for this key
8822712941,element,node,no wiki page for this key
8822712946,element,node,no wiki page for this key
8822712948,element,node,no wiki page for this key
8822712951,element,node,no wiki page for this key
8822712953,element,node,no wiki page for this key
8822722530,element,node,no wiki page for this key
8822722532,element,node,no wiki page for this key
8822722555,element,node,no wiki page for this key
8822722557,element,node,no wiki page for this key
8822722559,element,node,no wiki page for this key
8822722561,element,node,no wiki page for this key
8822722563,element,node,no wiki page for this key
8822722565,element,node,no wiki page for this key
8822722567,element,node,no wiki page for this key
8822722569,element,node,no wiki page for this key
8822722680,element,node,no wiki page for this key
8822722682,element,node,no wiki page for this key
8822722713,element,node,no wiki page for this key
8822722715,element,node,no wiki page for this key
8822722718,element,node,no wiki page for this key
8822722720,element,node,no wiki page for this key
8822722740,element,node,no wiki page for this key
8836180431,element,node,no wiki page for this key
8836180436,element,node,no wiki page for this key
8836180438,element,node,no wiki page for this key
8836180497,element,node,no wiki page for this key
8836180505,element,node,no wiki page for this key
8836180507,element,node,no wiki page for this key
