osm_id,feat_type,key,value,commentary
3756419,relation,building,yes,footways are not buildings
218520507,way,building,yes,footways are not buildings
218520508,way,building,yes,footways are not buildings
218520509,way,building,yes,footways are not buildings
218520510,way,building,yes,footways are not buildings
218520513,way,building,yes,footways are not buildings
218520514,way,building,yes,footways are not buildings
218520515,way,building,yes,footways are not buildings
218520516,way,building,yes,footways are not buildings
218520517,way,building,yes,footways are not buildings
218520518,way,building,yes,footways are not buildings
218520519,way,building,yes,footways are not buildings
218520520,way,building,yes,footways are not buildings
218520521,way,building,yes,footways are not buildings
218520523,way,building,yes,footways are not buildings
218520524,way,building,yes,footways are not buildings
218520525,way,building,yes,footways are not buildings
218520526,way,building,yes,footways are not buildings
218520527,way,building,yes,footways are not buildings
218520528,way,building,yes,footways are not buildings
218520529,way,building,yes,footways are not buildings
218520530,way,building,yes,footways are not buildings
218520531,way,building,yes,footways are not buildings
1246184378,way,building,yes,footways are not buildings
1246184379,way,building,yes,footways are not buildings
1246184380,way,building,yes,footways are not buildings
1246184381,way,building,yes,footways are not buildings
