osm_id,feat_type,key,value,commentary
32430901,node,surface,MISSING,Surface tag is recommended to assess accessibility
35081190,node,surface,MISSING,Surface tag is recommended to assess accessibility
35081198,node,surface,MISSING,Surface tag is recommended to assess accessibility
88204193,node,surface,MISSING,Surface tag is recommended to assess accessibility
139266171,node,surface,MISSING,Surface tag is recommended to assess accessibility
245476640,node,surface,MISSING,Surface tag is recommended to assess accessibility
249381302,node,surface,MISSING,Surface tag is recommended to assess accessibility
250048272,node,surface,MISSING,Surface tag is recommended to assess accessibility
250898608,node,surface,MISSING,Surface tag is recommended to assess accessibility
251290301,node,surface,MISSING,Surface tag is recommended to assess accessibility
253312193,node,surface,MISSING,Surface tag is recommended to assess accessibility
253756326,node,surface,MISSING,Surface tag is recommended to assess accessibility
254604867,node,surface,MISSING,Surface tag is recommended to assess accessibility
254894868,node,surface,MISSING,Surface tag is recommended to assess accessibility
256029976,node,surface,MISSING,Surface tag is recommended to assess accessibility
257610839,node,surface,MISSING,Surface tag is recommended to assess accessibility
259783041,node,surface,MISSING,Surface tag is recommended to assess accessibility
259783043,node,surface,MISSING,Surface tag is recommended to assess accessibility
266380646,node,surface,MISSING,Surface tag is recommended to assess accessibility
267873199,node,surface,MISSING,Surface tag is recommended to assess accessibility
268862219,node,surface,MISSING,Surface tag is recommended to assess accessibility
271347948,node,surface,MISSING,Surface tag is recommended to assess accessibility
281443231,node,surface,MISSING,Surface tag is recommended to assess accessibility
282535993,node,surface,MISSING,Surface tag is recommended to assess accessibility
282535996,node,surface,MISSING,Surface tag is recommended to assess accessibility
282536054,node,surface,MISSING,Surface tag is recommended to assess accessibility
283848878,node,surface,MISSING,Surface tag is recommended to assess accessibility
286315035,node,surface,MISSING,Surface tag is recommended to assess accessibility
303378061,node,surface,MISSING,Surface tag is recommended to assess accessibility
314431804,node,surface,MISSING,Surface tag is recommended to assess accessibility
355712607,node,surface,MISSING,Surface tag is recommended to assess accessibility
365465256,node,surface,MISSING,Surface tag is recommended to assess accessibility
380589278,node,surface,MISSING,Surface tag is recommended to assess accessibility
439935592,node,surface,MISSING,Surface tag is recommended to assess accessibility
442039636,node,surface,MISSING,Surface tag is recommended to assess accessibility
445833097,node,surface,MISSING,Surface tag is recommended to assess accessibility
471169804,node,surface,MISSING,Surface tag is recommended to assess accessibility
478788910,node,surface,MISSING,Surface tag is recommended to assess accessibility
490782044,node,surface,MISSING,Surface tag is recommended to assess accessibility
518519051,node,surface,MISSING,Surface tag is recommended to assess accessibility
529956916,node,surface,MISSING,Surface tag is recommended to assess accessibility
538331312,node,surface,MISSING,Surface tag is recommended to assess accessibility
558536265,node,surface,MISSING,Surface tag is recommended to assess accessibility
559767587,node,surface,MISSING,Surface tag is recommended to assess accessibility
578238826,node,surface,MISSING,Surface tag is recommended to assess accessibility
613579635,node,surface,MISSING,Surface tag is recommended to assess accessibility
613579638,node,surface,MISSING,Surface tag is recommended to assess accessibility
613579646,node,surface,MISSING,Surface tag is recommended to assess accessibility
613579690,node,surface,MISSING,Surface tag is recommended to assess accessibility
614614856,node,surface,MISSING,Surface tag is recommended to assess accessibility
614614859,node,surface,MISSING,Surface tag is recommended to assess accessibility
617299313,node,surface,MISSING,Surface tag is recommended to assess accessibility
680350419,node,surface,MISSING,Surface tag is recommended to assess accessibility
726562508,node,surface,MISSING,Surface tag is recommended to assess accessibility
726933699,node,surface,MISSING,Surface tag is recommended to assess accessibility
877703895,node,surface,MISSING,Surface tag is recommended to assess accessibility
882437769,node,surface,MISSING,Surface tag is recommended to assess accessibility
882437793,node,surface,MISSING,Surface tag is recommended to assess accessibility
882437850,node,surface,MISSING,Surface tag is recommended to assess accessibility
883282678,node,surface,MISSING,Surface tag is recommended to assess accessibility
895557454,node,surface,MISSING,Surface tag is recommended to assess accessibility
897229032,node,surface,MISSING,Surface tag is recommended to assess accessibility
911777768,node,surface,MISSING,Surface tag is recommended to assess accessibility
925866880,node,surface,MISSING,Surface tag is recommended to assess accessibility
935325174,node,surface,MISSING,Surface tag is recommended to assess accessibility
1011790336,node,surface,MISSING,Surface tag is recommended to assess accessibility
1011790468,node,surface,MISSING,Surface tag is recommended to assess accessibility
1029605717,node,surface,MISSING,Surface tag is recommended to assess accessibility
1033882039,node,surface,MISSING,Surface tag is recommended to assess accessibility
1137933927,node,surface,MISSING,Surface tag is recommended to assess accessibility
1157980324,node,surface,MISSING,Surface tag is recommended to assess accessibility
1171087802,node,surface,MISSING,Surface tag is recommended to assess accessibility
1253980221,node,surface,MISSING,Surface tag is recommended to assess accessibility
1271547378,node,surface,MISSING,Surface tag is recommended to assess accessibility
1271547382,node,surface,MISSING,Surface tag is recommended to assess accessibility
1308162238,node,surface,MISSING,Surface tag is recommended to assess accessibility
1309613222,node,surface,MISSING,Surface tag is recommended to assess accessibility
1433063490,node,surface,MISSING,Surface tag is recommended to assess accessibility
1433063511,node,surface,MISSING,Surface tag is recommended to assess accessibility
1446880679,node,surface,MISSING,Surface tag is recommended to assess accessibility
1447219048,node,surface,MISSING,Surface tag is recommended to assess accessibility
1464812320,node,surface,MISSING,Surface tag is recommended to assess accessibility
1464812326,node,surface,MISSING,Surface tag is recommended to assess accessibility
1467595480,node,surface,MISSING,Surface tag is recommended to assess accessibility
1485875940,node,surface,MISSING,Surface tag is recommended to assess accessibility
1486453886,node,surface,MISSING,Surface tag is recommended to assess accessibility
1486453923,node,surface,MISSING,Surface tag is recommended to assess accessibility
1487224528,node,surface,MISSING,Surface tag is recommended to assess accessibility
1487249807,node,surface,MISSING,Surface tag is recommended to assess accessibility
1488892243,node,surface,MISSING,Surface tag is recommended to assess accessibility
1493579696,node,surface,MISSING,Surface tag is recommended to assess accessibility
1502799212,node,surface,MISSING,Surface tag is recommended to assess accessibility
1505205441,node,surface,MISSING,Surface tag is recommended to assess accessibility
1512688454,node,surface,MISSING,Surface tag is recommended to assess accessibility
1538423205,node,surface,MISSING,Surface tag is recommended to assess accessibility
1558250490,node,surface,MISSING,Surface tag is recommended to assess accessibility
1581296153,node,surface,MISSING,Surface tag is recommended to assess accessibility
1619441003,node,surface,MISSING,Surface tag is recommended to assess accessibility
1627126717,node,surface,MISSING,Surface tag is recommended to assess accessibility
1648333349,node,surface,MISSING,Surface tag is recommended to assess accessibility
1664985434,node,surface,MISSING,Surface tag is recommended to assess accessibility
1664985472,node,surface,MISSING,Surface tag is recommended to assess accessibility
1664985510,node,surface,MISSING,Surface tag is recommended to assess accessibility
1699692604,node,surface,MISSING,Surface tag is recommended to assess accessibility
1699886632,node,surface,MISSING,Surface tag is recommended to assess accessibility
1699979820,node,surface,MISSING,Surface tag is recommended to assess accessibility
1699979848,node,surface,MISSING,Surface tag is recommended to assess accessibility
1705281880,node,surface,MISSING,Surface tag is recommended to assess accessibility
1705281904,node,surface,MISSING,Surface tag is recommended to assess accessibility
1705281922,node,surface,MISSING,Surface tag is recommended to assess accessibility
1706091811,node,surface,MISSING,Surface tag is recommended to assess accessibility
1709621452,node,surface,MISSING,Surface tag is recommended to assess accessibility
1718642035,node,surface,MISSING,Surface tag is recommended to assess accessibility
1720802496,node,surface,MISSING,Surface tag is recommended to assess accessibility
1722078886,node,surface,MISSING,Surface tag is recommended to assess accessibility
1722079007,node,surface,MISSING,Surface tag is recommended to assess accessibility
1722079008,node,surface,MISSING,Surface tag is recommended to assess accessibility
1724436605,node,surface,MISSING,Surface tag is recommended to assess accessibility
1726657326,node,surface,MISSING,Surface tag is recommended to assess accessibility
1727482493,node,surface,MISSING,Surface tag is recommended to assess accessibility
1744786284,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757298934,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757676915,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757676945,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757676973,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757676976,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757676984,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757676987,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757677000,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757677004,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757677009,node,surface,MISSING,Surface tag is recommended to assess accessibility
1757677010,node,surface,MISSING,Surface tag is recommended to assess accessibility
1759975522,node,surface,MISSING,Surface tag is recommended to assess accessibility
1760433145,node,surface,MISSING,Surface tag is recommended to assess accessibility
1760433146,node,surface,MISSING,Surface tag is recommended to assess accessibility
1762865082,node,surface,MISSING,Surface tag is recommended to assess accessibility
1774020997,node,surface,MISSING,Surface tag is recommended to assess accessibility
1799519827,node,surface,MISSING,Surface tag is recommended to assess accessibility
1824788769,node,surface,MISSING,Surface tag is recommended to assess accessibility
1824788792,node,surface,MISSING,Surface tag is recommended to assess accessibility
1828906238,node,surface,MISSING,Surface tag is recommended to assess accessibility
1829813873,node,surface,MISSING,Surface tag is recommended to assess accessibility
1839136729,node,surface,MISSING,Surface tag is recommended to assess accessibility
1857873630,node,surface,MISSING,Surface tag is recommended to assess accessibility
1858791628,node,surface,MISSING,Surface tag is recommended to assess accessibility
1864492452,node,surface,MISSING,Surface tag is recommended to assess accessibility
1879371293,node,surface,MISSING,Surface tag is recommended to assess accessibility
1879371307,node,surface,MISSING,Surface tag is recommended to assess accessibility
1894711768,node,surface,MISSING,Surface tag is recommended to assess accessibility
1894711782,node,surface,MISSING,Surface tag is recommended to assess accessibility
1917028139,node,surface,MISSING,Surface tag is recommended to assess accessibility
1917939429,node,surface,MISSING,Surface tag is recommended to assess accessibility
1917939480,node,surface,MISSING,Surface tag is recommended to assess accessibility
1918008765,node,surface,MISSING,Surface tag is recommended to assess accessibility
1920947111,node,surface,MISSING,Surface tag is recommended to assess accessibility
1920980105,node,surface,MISSING,Surface tag is recommended to assess accessibility
1931873263,node,surface,MISSING,Surface tag is recommended to assess accessibility
1946046685,node,surface,MISSING,Surface tag is recommended to assess accessibility
1946736530,node,surface,MISSING,Surface tag is recommended to assess accessibility
1965121587,node,surface,MISSING,Surface tag is recommended to assess accessibility
1972490310,node,surface,MISSING,Surface tag is recommended to assess accessibility
1976331498,node,surface,MISSING,Surface tag is recommended to assess accessibility
1976331507,node,surface,MISSING,Surface tag is recommended to assess accessibility
1990156818,node,surface,MISSING,Surface tag is recommended to assess accessibility
2006277610,node,surface,MISSING,Surface tag is recommended to assess accessibility
2012056561,node,surface,MISSING,Surface tag is recommended to assess accessibility
2030035290,node,surface,MISSING,Surface tag is recommended to assess accessibility
2065004971,node,surface,MISSING,Surface tag is recommended to assess accessibility
2075166711,node,surface,MISSING,Surface tag is recommended to assess accessibility
2092489231,node,surface,MISSING,Surface tag is recommended to assess accessibility
2092489233,node,surface,MISSING,Surface tag is recommended to assess accessibility
2096701067,node,surface,MISSING,Surface tag is recommended to assess accessibility
2098203843,node,surface,MISSING,Surface tag is recommended to assess accessibility
2129476851,node,surface,MISSING,Surface tag is recommended to assess accessibility
2131451053,node,surface,MISSING,Surface tag is recommended to assess accessibility
2144217019,node,surface,MISSING,Surface tag is recommended to assess accessibility
2144217023,node,surface,MISSING,Surface tag is recommended to assess accessibility
2148863431,node,surface,MISSING,Surface tag is recommended to assess accessibility
2148863455,node,surface,MISSING,Surface tag is recommended to assess accessibility
2148863490,node,surface,MISSING,Surface tag is recommended to assess accessibility
2148894745,node,surface,MISSING,Surface tag is recommended to assess accessibility
2148894761,node,surface,MISSING,Surface tag is recommended to assess accessibility
2148899374,node,surface,MISSING,Surface tag is recommended to assess accessibility
2148901877,node,surface,MISSING,Surface tag is recommended to assess accessibility
2156104186,node,surface,MISSING,Surface tag is recommended to assess accessibility
2158839321,node,surface,MISSING,Surface tag is recommended to assess accessibility
2185661686,node,surface,MISSING,Surface tag is recommended to assess accessibility
2185661687,node,surface,MISSING,Surface tag is recommended to assess accessibility
2203128842,node,surface,MISSING,Surface tag is recommended to assess accessibility
2207003819,node,surface,MISSING,Surface tag is recommended to assess accessibility
2210023403,node,surface,MISSING,Surface tag is recommended to assess accessibility
2210023404,node,surface,MISSING,Surface tag is recommended to assess accessibility
2210023405,node,surface,MISSING,Surface tag is recommended to assess accessibility
2210023406,node,surface,MISSING,Surface tag is recommended to assess accessibility
2212664689,node,surface,MISSING,Surface tag is recommended to assess accessibility
2250993036,node,surface,MISSING,Surface tag is recommended to assess accessibility
2266107446,node,surface,MISSING,Surface tag is recommended to assess accessibility
2266760464,node,surface,MISSING,Surface tag is recommended to assess accessibility
2277554872,node,surface,MISSING,Surface tag is recommended to assess accessibility
2300055229,node,surface,MISSING,Surface tag is recommended to assess accessibility
2302418326,node,surface,MISSING,Surface tag is recommended to assess accessibility
2385882133,node,surface,MISSING,Surface tag is recommended to assess accessibility
2385882139,node,surface,MISSING,Surface tag is recommended to assess accessibility
2407127345,node,surface,MISSING,Surface tag is recommended to assess accessibility
2407127348,node,surface,MISSING,Surface tag is recommended to assess accessibility
2437179662,node,surface,MISSING,Surface tag is recommended to assess accessibility
2449157680,node,surface,MISSING,Surface tag is recommended to assess accessibility
2477023368,node,surface,MISSING,Surface tag is recommended to assess accessibility
2477071896,node,surface,MISSING,Surface tag is recommended to assess accessibility
2510429567,node,surface,MISSING,Surface tag is recommended to assess accessibility
2511842614,node,surface,MISSING,Surface tag is recommended to assess accessibility
2517370905,node,surface,MISSING,Surface tag is recommended to assess accessibility
2535250742,node,surface,MISSING,Surface tag is recommended to assess accessibility
2553558641,node,surface,MISSING,Surface tag is recommended to assess accessibility
2558935280,node,surface,MISSING,Surface tag is recommended to assess accessibility
2569732556,node,surface,MISSING,Surface tag is recommended to assess accessibility
2603520623,node,surface,MISSING,Surface tag is recommended to assess accessibility
2603521701,node,surface,MISSING,Surface tag is recommended to assess accessibility
2619654248,node,surface,MISSING,Surface tag is recommended to assess accessibility
2619654250,node,surface,MISSING,Surface tag is recommended to assess accessibility
2675424561,node,surface,MISSING,Surface tag is recommended to assess accessibility
2685434011,node,surface,MISSING,Surface tag is recommended to assess accessibility
2700247056,node,surface,MISSING,Surface tag is recommended to assess accessibility
2709744223,node,surface,MISSING,Surface tag is recommended to assess accessibility
2719476437,node,surface,MISSING,Surface tag is recommended to assess accessibility
2721213534,node,surface,MISSING,Surface tag is recommended to assess accessibility
2721213535,node,surface,MISSING,Surface tag is recommended to assess accessibility
2742497479,node,surface,MISSING,Surface tag is recommended to assess accessibility
2742497491,node,surface,MISSING,Surface tag is recommended to assess accessibility
2742497536,node,surface,MISSING,Surface tag is recommended to assess accessibility
2742497548,node,surface,MISSING,Surface tag is recommended to assess accessibility
2743753633,node,surface,MISSING,Surface tag is recommended to assess accessibility
2744630615,node,surface,MISSING,Surface tag is recommended to assess accessibility
2744630624,node,surface,MISSING,Surface tag is recommended to assess accessibility
2744630633,node,surface,MISSING,Surface tag is recommended to assess accessibility
2744630649,node,surface,MISSING,Surface tag is recommended to assess accessibility
2746602199,node,surface,MISSING,Surface tag is recommended to assess accessibility
2746602204,node,surface,MISSING,Surface tag is recommended to assess accessibility
2746602206,node,surface,MISSING,Surface tag is recommended to assess accessibility
2746602223,node,surface,MISSING,Surface tag is recommended to assess accessibility
2749842637,node,surface,MISSING,Surface tag is recommended to assess accessibility
2749842717,node,surface,MISSING,Surface tag is recommended to assess accessibility
2749842796,node,surface,MISSING,Surface tag is recommended to assess accessibility
2772945588,node,surface,MISSING,Surface tag is recommended to assess accessibility
2780485761,node,surface,MISSING,Surface tag is recommended to assess accessibility
2804364517,node,surface,MISSING,Surface tag is recommended to assess accessibility
2820767597,node,surface,MISSING,Surface tag is recommended to assess accessibility
2825297846,node,surface,MISSING,Surface tag is recommended to assess accessibility
2825297851,node,surface,MISSING,Surface tag is recommended to assess accessibility
2866157764,node,surface,MISSING,Surface tag is recommended to assess accessibility
2866157776,node,surface,MISSING,Surface tag is recommended to assess accessibility
2866157792,node,surface,MISSING,Surface tag is recommended to assess accessibility
2870748412,node,surface,MISSING,Surface tag is recommended to assess accessibility
2873160452,node,surface,MISSING,Surface tag is recommended to assess accessibility
2875995407,node,surface,MISSING,Surface tag is recommended to assess accessibility
2891716105,node,surface,MISSING,Surface tag is recommended to assess accessibility
2891716176,node,surface,MISSING,Surface tag is recommended to assess accessibility
2898864722,node,surface,MISSING,Surface tag is recommended to assess accessibility
2917120688,node,surface,MISSING,Surface tag is recommended to assess accessibility
2919153078,node,surface,MISSING,Surface tag is recommended to assess accessibility
2920027137,node,surface,MISSING,Surface tag is recommended to assess accessibility
2931224030,node,surface,MISSING,Surface tag is recommended to assess accessibility
2931435019,node,surface,MISSING,Surface tag is recommended to assess accessibility
2962358511,node,surface,MISSING,Surface tag is recommended to assess accessibility
3007506345,node,surface,MISSING,Surface tag is recommended to assess accessibility
3023381379,node,surface,MISSING,Surface tag is recommended to assess accessibility
3030452601,node,surface,MISSING,Surface tag is recommended to assess accessibility
3037704209,node,surface,MISSING,Surface tag is recommended to assess accessibility
3060722232,node,surface,MISSING,Surface tag is recommended to assess accessibility
3191774626,node,surface,MISSING,Surface tag is recommended to assess accessibility
3215730977,node,surface,MISSING,Surface tag is recommended to assess accessibility
3227966616,node,surface,MISSING,Surface tag is recommended to assess accessibility
3312832835,node,surface,MISSING,Surface tag is recommended to assess accessibility
3312832836,node,surface,MISSING,Surface tag is recommended to assess accessibility
3314857876,node,surface,MISSING,Surface tag is recommended to assess accessibility
3372001857,node,surface,MISSING,Surface tag is recommended to assess accessibility
3372003894,node,surface,MISSING,Surface tag is recommended to assess accessibility
3372509706,node,surface,MISSING,Surface tag is recommended to assess accessibility
3372509707,node,surface,MISSING,Surface tag is recommended to assess accessibility
3377081551,node,surface,MISSING,Surface tag is recommended to assess accessibility
3378143104,node,surface,MISSING,Surface tag is recommended to assess accessibility
3378143105,node,surface,MISSING,Surface tag is recommended to assess accessibility
3397928693,node,surface,MISSING,Surface tag is recommended to assess accessibility
3406798700,node,surface,MISSING,Surface tag is recommended to assess accessibility
3448550519,node,surface,MISSING,Surface tag is recommended to assess accessibility
3563880300,node,surface,MISSING,Surface tag is recommended to assess accessibility
3610706760,node,surface,MISSING,Surface tag is recommended to assess accessibility
3610711217,node,surface,MISSING,Surface tag is recommended to assess accessibility
3712617243,node,surface,MISSING,Surface tag is recommended to assess accessibility
3721057479,node,surface,MISSING,Surface tag is recommended to assess accessibility
3731922535,node,surface,MISSING,Surface tag is recommended to assess accessibility
3818659551,node,surface,MISSING,Surface tag is recommended to assess accessibility
