osm_id,feat_type,key,value,commentary
5308815,relation,last_update,25-2-2014,Feature has not been updated in 5 years or more
14750142,relation,last_update,26-8-2017,Feature has not been updated in 5 years or more
15097192,relation,last_update,17-6-2010,Feature has not been updated in 5 years or more
16177013,relation,last_update,30-3-2020,Feature has not been updated in 5 years or more
16338803,relation,last_update,16-9-2020,Feature has not been updated in 5 years or more
16356615,relation,last_update,14-12-2007,Feature has not been updated in 5 years or more
17461247,relation,last_update,2-1-2013,Feature has not been updated in 5 years or more
18788303,relation,last_update,17-2-2016,Feature has not been updated in 5 years or more
24603582,way,last_update,7-2-2018,Feature has not been updated in 5 years or more
24603583,way,last_update,11-12-2013,Feature has not been updated in 5 years or more
24603584,way,last_update,11-12-2013,Feature has not been updated in 5 years or more
24603589,way,last_update,11-2-2014,Feature has not been updated in 5 years or more
24603591,way,last_update,11-12-2013,Feature has not been updated in 5 years or more
24603597,way,last_update,13-2-2015,Feature has not been updated in 5 years or more
24603630,way,last_update,11-12-2013,Feature has not been updated in 5 years or more
24791905,way,last_update,26-6-2015,Feature has not been updated in 5 years or more
30049726,way,last_update,3-6-2016,Feature has not been updated in 5 years or more
30049727,way,last_update,3-6-2016,Feature has not been updated in 5 years or more
30049728,way,last_update,3-6-2016,Feature has not been updated in 5 years or more
30050374,way,last_update,19-7-2016,Feature has not been updated in 5 years or more
32944276,way,last_update,3-6-2016,Feature has not been updated in 5 years or more
37184488,way,last_update,8-8-2017,Feature has not been updated in 5 years or more
45190182,way,last_update,11-12-2013,Feature has not been updated in 5 years or more
48310679,way,last_update,25-4-2021,Feature has not been updated in 5 years or more
48988568,way,last_update,22-2-2021,Feature has not been updated in 5 years or more
48988772,way,last_update,23-9-2019,Feature has not been updated in 5 years or more
55063753,way,last_update,11-4-2010,Feature has not been updated in 5 years or more
55063755,way,last_update,22-2-2021,Feature has not been updated in 5 years or more
55063767,way,last_update,15-12-2018,Feature has not been updated in 5 years or more
70003512,way,last_update,26-6-2015,Feature has not been updated in 5 years or more
76115696,way,last_update,2-7-2019,Feature has not been updated in 5 years or more
87601117,way,last_update,25-4-2021,Feature has not been updated in 5 years or more
91868262,way,last_update,23-7-2011,Feature has not been updated in 5 years or more
93125237,way,last_update,19-8-2017,Feature has not been updated in 5 years or more
106805366,way,last_update,4-5-2012,Feature has not been updated in 5 years or more
106810257,way,last_update,1-4-2011,Feature has not been updated in 5 years or more
106810408,way,last_update,30-9-2019,Feature has not been updated in 5 years or more
106916867,way,last_update,9-3-2021,Feature has not been updated in 5 years or more
106924941,way,last_update,8-7-2018,Feature has not been updated in 5 years or more
106928425,way,last_update,17-10-2019,Feature has not been updated in 5 years or more
106934489,way,last_update,11-5-2012,Feature has not been updated in 5 years or more
106934492,way,last_update,14-1-2019,Feature has not been updated in 5 years or more
106939226,way,last_update,12-1-2019,Feature has not been updated in 5 years or more
106940302,way,last_update,12-1-2019,Feature has not been updated in 5 years or more
106946697,way,last_update,11-11-2018,Feature has not been updated in 5 years or more
122741618,way,last_update,23-7-2011,Feature has not been updated in 5 years or more
122741619,way,last_update,23-7-2011,Feature has not been updated in 5 years or more
124108707,way,last_update,1-8-2011,Feature has not been updated in 5 years or more
124648004,way,last_update,16-6-2015,Feature has not been updated in 5 years or more
128988901,way,last_update,8-4-2021,Feature has not been updated in 5 years or more
129015198,way,last_update,18-5-2021,Feature has not been updated in 5 years or more
129142035,way,last_update,22-3-2021,Feature has not been updated in 5 years or more
132418402,way,last_update,13-1-2019,Feature has not been updated in 5 years or more
137416763,way,last_update,17-5-2021,Feature has not been updated in 5 years or more
137417563,way,last_update,13-3-2016,Feature has not been updated in 5 years or more
137417564,way,last_update,13-3-2016,Feature has not been updated in 5 years or more
137417567,way,last_update,13-3-2016,Feature has not been updated in 5 years or more
137422213,way,last_update,13-3-2016,Feature has not been updated in 5 years or more
137422223,way,last_update,7-4-2016,Feature has not been updated in 5 years or more
137425519,way,last_update,19-8-2017,Feature has not been updated in 5 years or more
137425521,way,last_update,19-8-2017,Feature has not been updated in 5 years or more
137425526,way,last_update,19-8-2017,Feature has not been updated in 5 years or more
137425528,way,last_update,8-7-2019,Feature has not been updated in 5 years or more
137426751,way,last_update,7-4-2016,Feature has not been updated in 5 years or more
137426753,way,last_update,26-5-2021,Feature has not been updated in 5 years or more
137426754,way,last_update,13-3-2016,Feature has not been updated in 5 years or more
137427351,way,last_update,27-4-2016,Feature has not been updated in 5 years or more
137428360,way,last_update,25-6-2016,Feature has not been updated in 5 years or more
137443029,way,last_update,21-10-2018,Feature has not been updated in 5 years or more
137443199,way,last_update,27-4-2018,Feature has not been updated in 5 years or more
137976592,way,last_update,12-5-2021,Feature has not been updated in 5 years or more
137979251,way,last_update,18-5-2021,Feature has not been updated in 5 years or more
137979255,way,last_update,30-3-2016,Feature has not been updated in 5 years or more
137979260,way,last_update,30-3-2016,Feature has not been updated in 5 years or more
137979261,way,last_update,7-4-2016,Feature has not been updated in 5 years or more
137979273,way,last_update,18-3-2016,Feature has not been updated in 5 years or more
137979278,way,last_update,8-5-2021,Feature has not been updated in 5 years or more
137979282,way,last_update,8-5-2021,Feature has not been updated in 5 years or more
137979794,way,last_update,24-5-2021,Feature has not been updated in 5 years or more
137979795,way,last_update,26-4-2016,Feature has not been updated in 5 years or more
137979803,way,last_update,26-4-2016,Feature has not been updated in 5 years or more
137984244,way,last_update,5-5-2021,Feature has not been updated in 5 years or more
137984247,way,last_update,5-5-2021,Feature has not been updated in 5 years or more
137984808,way,last_update,13-3-2016,Feature has not been updated in 5 years or more
