osm_id,feat_type,key,value,commentary
46736210,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
163037404,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
163664242,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
237848875,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
237848876,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
237848877,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
237848879,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
262476539,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
386052076,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
420859475,way,surface,mud,"unlisted at accepted/known values, probably wrong/misspelled"
543881320,way,surface,Petit_Pavê,"unlisted at accepted/known values, probably wrong/misspelled"
543883295,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883296,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883297,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883298,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883299,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543884010,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543902345,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
744513319,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
918119219,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1051404254,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1162558139,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1201687053,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1306689992,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
