osm_id,feat_type,key,value,commentary
1483978639,node,surface,MISSING,Surface tag is recommended to assess accessibility
10135351338,node,surface,MISSING,Surface tag is recommended to assess accessibility
10154784107,node,surface,MISSING,Surface tag is recommended to assess accessibility
10154945957,node,surface,MISSING,Surface tag is recommended to assess accessibility
23198955,way,surface,MISSING,Surface tag is recommended to assess accessibility
24025702,way,surface,MISSING,Surface tag is recommended to assess accessibility
24025706,way,surface,MISSING,Surface tag is recommended to assess accessibility
26009957,way,surface,MISSING,Surface tag is recommended to assess accessibility
32881323,way,surface,MISSING,Surface tag is recommended to assess accessibility
45324990,way,surface,MISSING,Surface tag is recommended to assess accessibility
50951767,way,surface,MISSING,Surface tag is recommended to assess accessibility
50951777,way,surface,MISSING,Surface tag is recommended to assess accessibility
50951783,way,surface,MISSING,Surface tag is recommended to assess accessibility
51357029,way,surface,MISSING,Surface tag is recommended to assess accessibility
51527881,way,surface,MISSING,Surface tag is recommended to assess accessibility
54054347,way,surface,MISSING,Surface tag is recommended to assess accessibility
56234094,way,surface,MISSING,Surface tag is recommended to assess accessibility
65411873,way,surface,MISSING,Surface tag is recommended to assess accessibility
77791560,way,surface,MISSING,Surface tag is recommended to assess accessibility
85847365,way,surface,MISSING,Surface tag is recommended to assess accessibility
104364386,way,surface,MISSING,Surface tag is recommended to assess accessibility
107833456,way,surface,MISSING,Surface tag is recommended to assess accessibility
112426162,way,surface,MISSING,Surface tag is recommended to assess accessibility
112631946,way,surface,MISSING,Surface tag is recommended to assess accessibility
112631948,way,surface,MISSING,Surface tag is recommended to assess accessibility
112631952,way,surface,MISSING,Surface tag is recommended to assess accessibility
112631960,way,surface,MISSING,Surface tag is recommended to assess accessibility
112631973,way,surface,MISSING,Surface tag is recommended to assess accessibility
133037464,way,surface,MISSING,Surface tag is recommended to assess accessibility
133037478,way,surface,MISSING,Surface tag is recommended to assess accessibility
133877627,way,surface,MISSING,Surface tag is recommended to assess accessibility
134765959,way,surface,MISSING,Surface tag is recommended to assess accessibility
134765971,way,surface,MISSING,Surface tag is recommended to assess accessibility
