osm_id,feat_type,key,value,commentary
31213063,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
31213083,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
163037373,way,last_update,12-12-2019,Feature has not been updated in 5 years or more
171463168,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
171463169,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
171463171,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
171463178,way,last_update,28-4-2020,Feature has not been updated in 5 years or more
229509499,way,last_update,4-10-2019,Feature has not been updated in 5 years or more
375708768,way,last_update,2-12-2017,Feature has not been updated in 5 years or more
387497939,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
387497943,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
387497946,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
387497948,way,last_update,3-7-2019,Feature has not been updated in 5 years or more
390241716,way,last_update,10-12-2019,Feature has not been updated in 5 years or more
442946136,way,last_update,20-3-2018,Feature has not been updated in 5 years or more
447830738,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
452857102,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
452857104,way,last_update,12-11-2016,Feature has not been updated in 5 years or more
452857107,way,last_update,12-11-2016,Feature has not been updated in 5 years or more
459172189,way,last_update,12-12-2016,Feature has not been updated in 5 years or more
461679066,way,last_update,2-3-2021,Feature has not been updated in 5 years or more
461914979,way,last_update,26-12-2016,Feature has not been updated in 5 years or more
474843171,way,last_update,8-10-2020,Feature has not been updated in 5 years or more
474843172,way,last_update,26-6-2019,Feature has not been updated in 5 years or more
474843174,way,last_update,8-4-2017,Feature has not been updated in 5 years or more
485468385,way,last_update,8-4-2017,Feature has not been updated in 5 years or more
543881321,way,last_update,11-12-2017,Feature has not been updated in 5 years or more
544001639,way,last_update,8-3-2020,Feature has not been updated in 5 years or more
544002453,way,last_update,31-5-2019,Feature has not been updated in 5 years or more
544605037,way,last_update,23-10-2019,Feature has not been updated in 5 years or more
546206470,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
546211175,way,last_update,11-12-2017,Feature has not been updated in 5 years or more
546711144,way,last_update,23-3-2021,Feature has not been updated in 5 years or more
548166022,way,last_update,20-12-2017,Feature has not been updated in 5 years or more
556757567,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757568,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757571,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757572,way,last_update,23-4-2019,Feature has not been updated in 5 years or more
556757574,way,last_update,16-3-2021,Feature has not been updated in 5 years or more
556757575,way,last_update,2-7-2019,Feature has not been updated in 5 years or more
556757577,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757578,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757579,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757583,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757584,way,last_update,29-1-2018,Feature has not been updated in 5 years or more
556757585,way,last_update,2-7-2019,Feature has not been updated in 5 years or more
557451384,way,last_update,31-1-2018,Feature has not been updated in 5 years or more
557451389,way,last_update,24-8-2021,Feature has not been updated in 5 years or more
557451390,way,last_update,31-1-2018,Feature has not been updated in 5 years or more
557783662,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783665,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783668,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783670,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783672,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783675,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783679,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783681,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783684,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783687,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783690,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783693,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783696,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783699,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783701,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783703,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783706,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783707,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783709,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783711,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557783713,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557786547,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557786549,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557786550,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
557786551,way,last_update,1-2-2018,Feature has not been updated in 5 years or more
558595300,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
558595301,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
558595302,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560093682,way,last_update,9-2-2018,Feature has not been updated in 5 years or more
560093683,way,last_update,9-2-2018,Feature has not been updated in 5 years or more
560769187,way,last_update,19-1-2019,Feature has not been updated in 5 years or more
560769188,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
560769189,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769190,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769193,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769194,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769196,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769197,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769198,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769199,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769200,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769202,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769204,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769205,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769206,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769207,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769208,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769210,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769212,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769215,way,last_update,27-3-2020,Feature has not been updated in 5 years or more
560769216,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769217,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769218,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769219,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769220,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
560769221,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769222,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769225,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769226,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560769227,way,last_update,19-1-2019,Feature has not been updated in 5 years or more
560773471,way,last_update,26-8-2021,Feature has not been updated in 5 years or more
560773483,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560773484,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560773486,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560773487,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560773488,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
560773489,way,last_update,12-2-2018,Feature has not been updated in 5 years or more
