osm_id,feat_type,key,value,commentary
45263538,way,surface,cobblestone:flattened,"unlisted at accepted/known values, probably wrong/misspelled"
260495927,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
266587454,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
356914263,way,surface,cobblestone:flattened,"unlisted at accepted/known values, probably wrong/misspelled"
441749038,way,surface,cobblestone:flattened,"unlisted at accepted/known values, probably wrong/misspelled"
688337003,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
696894603,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
725088726,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
894965515,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
940712332,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1102878437,way,surface,yes,"unlisted at accepted/known values, probably wrong/misspelled"
1112229330,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1416835204,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
1416835207,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
1416835210,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
1452195193,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
1452195194,way,surface,milanese_paving,"unlisted at accepted/known values, probably wrong/misspelled"
1482835390,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1525275835,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1525275836,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
