osm_id,key,value,commentary
24576715,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
24775977,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
82637218,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
106646956,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
106805350,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
106810173,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
106914280,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
106928168,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
164011422,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
194267133,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
198124890,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229498760,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229502085,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229503448,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229533303,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229540794,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229542842,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229847988,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229848172,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229849975,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229850994,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229850995,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229864850,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229872764,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229977685,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229978246,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229978247,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229978248,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229978544,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229978545,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229978582,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229989867,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
229990975,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
230003157,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
231092796,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
262609532,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
262609534,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
285871277,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
344010637,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
344756273,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
359617238,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
473856869,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
488431774,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
488431775,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
490865261,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
490865263,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
490865267,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
490865274,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
514861797,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108518,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108523,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108524,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108528,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108533,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108544,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108545,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108550,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108554,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108555,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108556,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108557,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108558,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108561,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108562,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
517108563,level,nan,according to wiki it may be used only for indoor or if bound to a floor...
