osm_id,key,value,commentary
1395984082,button_operated,yes,"it may be referring to the crossing, may be OK"
1617661724,button_operated,yes,"it may be referring to the crossing, may be OK"
3507819516,button_operated,no,"it may be referring to the crossing, may be OK"
6223620973,button_operated,yes,"it may be referring to the crossing, may be OK"
6223620974,button_operated,yes,"it may be referring to the crossing, may be OK"
6223620975,button_operated,yes,"it may be referring to the crossing, may be OK"
6223620976,button_operated,yes,"it may be referring to the crossing, may be OK"
6336344925,button_operated,yes,"it may be referring to the crossing, may be OK"
6336344931,button_operated,yes,"it may be referring to the crossing, may be OK"
6336344932,button_operated,yes,"it may be referring to the crossing, may be OK"
7052469464,button_operated,yes,"it may be referring to the crossing, may be OK"
9307002733,button_operated,yes,"it may be referring to the crossing, may be OK"
9307002734,button_operated,yes,"it may be referring to the crossing, may be OK"
10791340978,button_operated,yes,"it may be referring to the crossing, may be OK"
10791340979,button_operated,yes,"it may be referring to the crossing, may be OK"
10791340980,button_operated,yes,"it may be referring to the crossing, may be OK"
10791340981,button_operated,yes,"it may be referring to the crossing, may be OK"
10791340982,button_operated,yes,"it may be referring to the crossing, may be OK"
10791340983,button_operated,yes,"it may be referring to the crossing, may be OK"
10791340984,button_operated,yes,"it may be referring to the crossing, may be OK"
