osm_id,feat_type,key,value,commentary
29464525,way,name,Rua Carmelo Rangel,most sidewalks don't have an actual name
32944187,way,name,Rua Gaspar Carnilho Júnior,most sidewalks don't have an actual name
74383311,way,name,Rua Desembargador Otávio do Amaral,most sidewalks don't have an actual name
106935657,way,name,Rua Saldanha Marinho,most sidewalks don't have an actual name
129113040,way,name,Rua Tereza Delminda da Silva Costa,most sidewalks don't have an actual name
129116671,way,name,Rua São Miguel Febres Cordeiro,most sidewalks don't have an actual name
129116689,way,name,Rua São Brás,most sidewalks don't have an actual name
163037373,way,name,Rua Henrique Itiberê da Cunha,most sidewalks don't have an actual name
229526565,way,name,Rua Mem de Sá,most sidewalks don't have an actual name
304610302,way,name,Alameda Princesa Izabel,most sidewalks don't have an actual name
319847152,way,name,Rua Schiller,most sidewalks don't have an actual name
319847153,way,name,Rua Schiller,most sidewalks don't have an actual name
355479579,way,name,Rua Monsenhor Celso,most sidewalks don't have an actual name
356646945,way,name,Rua Ozório Duque Estrada,most sidewalks don't have an actual name
422430196,way,name,Praça Emirados Árabes Unidos,most sidewalks don't have an actual name
517108440,way,name,Rua Engenheiro Teodoro Sampaio,most sidewalks don't have an actual name
522498234,way,name,Alameda Júlia da Costa,most sidewalks don't have an actual name
662541510,way,name,Rua Padre Agostinho,most sidewalks don't have an actual name
662541513,way,name,Rua Padre Agostinho,most sidewalks don't have an actual name
683617556,way,name,Avenida Nossa Senhora da Penha,most sidewalks don't have an actual name
688532111,way,name,Avenida Visconde de Guarapuava,most sidewalks don't have an actual name
688533022,way,name,Galeria Guimarães & Cia,most sidewalks don't have an actual name
692641630,way,name,Rua da Cidadania Boa Vista,most sidewalks don't have an actual name
692641631,way,name,Rua da Cidadania Boa Vista,most sidewalks don't have an actual name
692641633,way,name,Rua da Cidadania Boa Vista,most sidewalks don't have an actual name
692641634,way,name,Rua da Cidadania Boa Vista,most sidewalks don't have an actual name
692641635,way,name,Rua da Cidadania Boa Vista,most sidewalks don't have an actual name
696233966,way,name,Rua Tenente-Coronel Vilagrán Cabrita,most sidewalks don't have an actual name
698262475,way,name,Rua Fernandes de Barros,most sidewalks don't have an actual name
706292101,way,name,Rua Deputado Heitor Alencar Furtado,most sidewalks don't have an actual name
724433446,way,name,Rua Padre Vieira,most sidewalks don't have an actual name
744726676,way,name,Rua Ivo Leão,most sidewalks don't have an actual name
753738628,way,name,Rua Monte Castelo,most sidewalks don't have an actual name
754962182,way,name,Rua José Antoniassi,most sidewalks don't have an actual name
754962183,way,name,Avenida Albino Raschendorfer,most sidewalks don't have an actual name
754962184,way,name,Avenida Albino Raschendorfer,most sidewalks don't have an actual name
758441945,way,name,Rua Germânia,most sidewalks don't have an actual name
914583239,way,name,Rua Major Claro Américo Guimarães,most sidewalks don't have an actual name
917332141,way,name,Rua Coronel Domingos Soares,most sidewalks don't have an actual name
921620000,way,name,Rua Arthur Pina,most sidewalks don't have an actual name
921620002,way,name,Rua Afonso Nassife,most sidewalks don't have an actual name
925018576,way,name,Rua João Argino Nogueira,most sidewalks don't have an actual name
925054646,way,name,Rua Eudóxia Zafiez Santos,most sidewalks don't have an actual name
926101481,way,name,Rua Joni Francisco Jensen,most sidewalks don't have an actual name
939307226,way,name,Rua Antônio de Paula França,most sidewalks don't have an actual name
949575272,way,name,Rua Capitão Souza Franco,most sidewalks don't have an actual name
949575273,way,name,Alameda Augusto Stellfeld,most sidewalks don't have an actual name
960593708,way,traffic_signals,no,may be used for crossings
976309434,way,name,Rua Oscar Chanoski,most sidewalks don't have an actual name
977034531,way,name,Rua Gerônimo Muraro,most sidewalks don't have an actual name
1019616100,way,name,Rua Cláudio Chatagnier,most sidewalks don't have an actual name
1019616101,way,name,Rua Comendador Antônio Domingues de Barros,most sidewalks don't have an actual name
1020215061,way,name,Praça Tiradentes,most sidewalks don't have an actual name
1046716584,way,name,Rua Amazonas de Souza Azevedo,most sidewalks don't have an actual name
1051274354,way,name,Travessa Nestor de Castro,most sidewalks don't have an actual name
1051274355,way,name,Alameda Augusto Stellfeld,most sidewalks don't have an actual name
1071178731,way,name,Rua Moysés Marcondes,most sidewalks don't have an actual name
1101351360,way,name,Rua Gaspar Carnilho Júnior,most sidewalks don't have an actual name
1101351361,way,name,Rua Gaspar Carnilho Júnior,most sidewalks don't have an actual name
1110614977,way,name,Rua Alfaiate Alfredo Antônio Müller,most sidewalks don't have an actual name
1110614978,way,name,Rua Luiz Massuquetto,most sidewalks don't have an actual name
1110614979,way,name,Rua Alexandre Dalcuch,most sidewalks don't have an actual name
1110614980,way,name,Rua José Cocconi,most sidewalks don't have an actual name
1149566045,way,name,Rua Domingos Festa Filho,most sidewalks don't have an actual name
1156520805,way,name,Rua Bruno Filgueira,most sidewalks don't have an actual name
1160926578,way,name,Rua Padre Dehon,most sidewalks don't have an actual name
1218415018,way,name,Rua Dalila Rolim Vargas,most sidewalks don't have an actual name
1218415019,way,name,Rua Luíz Leopoldo Landal,most sidewalks don't have an actual name
1243751462,way,name,Rua Tenente João Gomes da Silva,most sidewalks don't have an actual name
