osm_id,key,value,commentary
46736210,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
163037404,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
163664242,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
237848875,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
237848876,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
237848877,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
237848879,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
262476539,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
386052076,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
420859475,surface,mud,"unlisted at accepted/known values, probably wrong/misspelled"
543881320,surface,Petit_Pavê,"unlisted at accepted/known values, probably wrong/misspelled"
543883295,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883296,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883297,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883298,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543883299,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543884010,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
543902345,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
744513319,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
918119219,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1051404254,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1162558139,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1201687053,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1306689992,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
