osm_id,feat_type,key,value,commentary
543881321,way,surface,Petit_Pavê,"unlisted at accepted/known values, probably wrong/misspelled"
544002453,way,surface,rock,"unlisted at accepted/known values, probably wrong/misspelled"
958628466,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
961136437,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
961136442,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
985652905,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
985652906,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
985652907,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1042695846,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1051403775,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1064650923,way,surface,porcelain tiles,"unlisted at accepted/known values, probably wrong/misspelled"
1065936128,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
1065936130,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1065936131,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
1065936133,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
1065936135,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
1065936139,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
1065936141,way,surface,stepping_stones,"unlisted at accepted/known values, probably wrong/misspelled"
1068081323,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1068081328,way,surface,fine_gravel,"unlisted at accepted/known values, probably wrong/misspelled"
1069598569,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069598585,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069598587,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069598589,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069598591,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069598593,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069598595,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069794093,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069794097,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069794101,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069794102,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069794103,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069794106,way,surface,concrete:lanes,"unlisted at accepted/known values, probably wrong/misspelled"
1069800457,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1069800458,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1069804009,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1069804010,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1070404336,way,surface,betão,"unlisted at accepted/known values, probably wrong/misspelled"
1070687538,way,surface,paver,"unlisted at accepted/known values, probably wrong/misspelled"
1120692118,way,surface,pebblestone,"unlisted at accepted/known values, probably wrong/misspelled"
1193601313,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1193601314,way,surface,grass_paver,"unlisted at accepted/known values, probably wrong/misspelled"
1222266163,way,surface,interlock,"unlisted at accepted/known values, probably wrong/misspelled"
